00000     5              no             1.56812508          
00001     1              no             1.197540205         
00002     2              no             1.853059995         
00003     3              no             1.344461678         
00004     4              no             1.433213336         
00006     6              no             1.699890942         
00007     7              no             -0.720262576        
00008     8              no             1.669187917         
00009     4              no             1.675962404         
00015     10             no             1.572385414         
